x,y,faa,height,inv_msk,inv_pad
-1802250.0,817750.0,8.66317861060717,1500,False,False
-1797250.0,817750.0,5.438775333655595,1500,False,False
-1787250.0,817750.0,7.11651996793838,1500,False,False
-1782250.0,817750.0,7.405906438797704,1500,False,False
-1777250.0,817750.0,1.3069950645949788,1500,False,False
-2177250.0,812750.0,13.567936252656342,1500,False,False
-2172250.0,812750.0,13.677554196503577,1500,False,False
-2167250.0,812750.0,12.52777149663386,1500,False,False
-2162250.0,812750.0,10.484265601693778,1500,False,False
-2157250.0,812750.0,7.812727239372046,1500,False,False
-2152250.0,812750.0,3.94113976573616,1500,False,False
-2147250.0,812750.0,-3.020439807953736,1500,False,False
-2142250.0,812750.0,-12.69013491858747,1500,False,False
-2137250.0,812750.0,-20.29248879507941,1500,False,False
-2132250.0,812750.0,-21.93675197371903,1500,False,False
-2127250.0,812750.0,-20.02267166428794,1500,False,False
-2122250.0,812750.0,-20.09483188077428,1500,False,False
-2107250.0,812750.0,-28.32196251988201,1500,False,False
-2102250.0,812750.0,-30.49466348239405,1500,False,False
-2097250.0,812750.0,-33.50507816901579,1500,False,False
-2052250.0,812750.0,-15.08329668476532,1500,False,False
-2047250.0,812750.0,-20.32901055252587,1500,False,False
-2037250.0,812750.0,-19.23826069402526,1500,False,False
-2032250.0,812750.0,-15.179267901544575,1500,False,False
-2027250.0,812750.0,-7.31684576352884,1500,False,True
-2022250.0,812750.0,2.6135120957521725,1500,False,True
-2017250.0,812750.0,9.514344285226857,1500,False,True
-2012250.0,812750.0,-4.692853978133131,1500,False,True
-2007250.0,812750.0,-20.23819962589881,1500,False,True
-2002250.0,812750.0,-21.05195049939364,1500,False,True
-1997250.0,812750.0,-10.533396459083963,1500,False,True
-1992250.0,812750.0,13.675298644147857,1500,False,True
-1987250.0,812750.0,39.824550630751816,1500,False,True
-1982250.0,812750.0,51.12822317763879,1500,False,True
-1977250.0,812750.0,28.5683359806851,1500,False,True
-1972250.0,812750.0,3.547778891735284,1500,False,True
-1967250.0,812750.0,0.5176756672502049,1500,False,True
-1962250.0,812750.0,5.33201794787623,1500,False,False
-1957250.0,812750.0,17.143512173798968,1500,False,False
-1952250.0,812750.0,19.912304943573563,1500,False,False
-1947250.0,812750.0,13.298014708579409,1500,False,False
-1942250.0,812750.0,10.30102601811065,1500,False,False
-1937250.0,812750.0,11.444467933562038,1500,False,False
-1932250.0,812750.0,10.30849845288879,1500,False,False
-1927250.0,812750.0,24.404377218476803,1500,False,False
-1922250.0,812750.0,36.86700197259188,1500,False,False
-1917250.0,812750.0,32.84956017412805,1500,False,False
-1912250.0,812750.0,15.390511097987128,1500,False,False
-1907250.0,812750.0,-0.650978632186092,1500,False,False
-1902250.0,812750.0,5.656936405886464,1500,False,False
-1897250.0,812750.0,18.71114137594688,1500,False,False
-1892250.0,812750.0,18.702737438288157,1500,False,False
-1887250.0,812750.0,27.56501539853984,1500,False,False
-1882250.0,812750.0,50.701351210431405,1500,False,False
-1877250.0,812750.0,57.862157202514425,1500,False,False
-1852250.0,812750.0,37.0297560436176,1500,False,False
-1847250.0,812750.0,40.825919025081305,1500,False,False
-1842250.0,812750.0,29.717256091781312,1500,False,False
-1837250.0,812750.0,10.05001329041513,1500,False,False
-1832250.0,812750.0,2.338889059055513,1500,False,False
-1827250.0,812750.0,3.5450837146843672,1500,False,False
-1822250.0,812750.0,4.265429019998056,1500,False,False
-1817250.0,812750.0,2.625957494424714,1500,False,False
-1812250.0,812750.0,3.3293505172165774,1500,False,False
-1807250.0,812750.0,8.515129730146933,1500,False,False
-1802250.0,812750.0,5.956440690104468,1500,False,False
-1797250.0,812750.0,1.087923633235381,1500,False,False
-1792250.0,812750.0,-4.584302165040862,1500,False,False
-1787250.0,812750.0,-7.7488459764517,1500,False,False
-1782250.0,812750.0,-6.981778450141459,1500,False,False
-1777250.0,812750.0,-3.95794142475738,1500,False,False
-1772250.0,812750.0,-0.7332598439840838,1500,False,False
-2167250.0,807750.0,10.92079744896336,1500,False,False
-2162250.0,807750.0,9.386460728311798,1500,False,False
-2157250.0,807750.0,7.12697999767174,1500,False,False
-2152250.0,807750.0,3.4155670307229307,1500,False,False
-2147250.0,807750.0,-4.177466654496435,1500,False,False
-2142250.0,807750.0,-16.336250671853552,1500,False,False
-2137250.0,807750.0,-28.046390968062145,1500,False,False
-2132250.0,807750.0,-33.50070511479037,1500,False,False
-2127250.0,807750.0,-33.75794967275008,1500,False,False
-2122250.0,807750.0,-34.71378328893247,1500,False,False
-2117250.0,807750.0,-38.657112302182405,1500,False,False
-2112250.0,807750.0,-41.083402882215736,1500,False,False
-2107250.0,807750.0,-39.63563799236148,1500,False,False
-2102250.0,807750.0,-40.98592826902943,1500,False,False
-2097250.0,807750.0,-42.87214352534208,1500,False,False
-2092250.0,807750.0,-44.01815236545801,1500,False,False
-2087250.0,807750.0,-44.049927360715714,1500,False,False
-2082250.0,807750.0,-42.716204041758736,1500,False,False
-2077250.0,807750.0,-40.523684254613,1500,False,False
-2072250.0,807750.0,-38.2107155603485,1500,False,False
-2067250.0,807750.0,-36.003236574082635,1500,False,False
